parse_method,events,risk_counts,mode_counts,paper_use
fallback,115,"{""Code Injection"": 18, ""Credential Leakage"": 2, ""Data Tampering"": 5, ""Financial Loss"": 1, ""Information Manipulation"": 52, ""Infrastructure Damage"": 4, ""Instruction Tampering"": 14, ""Message Hijacking"": 8, ""Privacy Leakage"": 9, ""Service Disruption"": 2}","{""authorize"": 52, ""sink_select"": 57, ""tool_select"": 6}",fallback event count; audit separately
structured,2033,"{""Code Injection"": 129, ""Credential Leakage"": 197, ""Data Tampering"": 209, ""Financial Loss"": 40, ""Information Manipulation"": 450, ""Infrastructure Damage"": 158, ""Instruction Tampering"": 94, ""Message Hijacking"": 71, ""Other"": 4, ""Privacy Leakage"": 340, ""Service Disruption"": 341}","{""authorize"": 1208, ""sink_select"": 610, ""tool_select"": 215}",structured event count
